"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.895147700E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
4.408809200E-2,2.316761017E-2,-6.475162506E-2,-1.107397079E-1,1.303564115E-1
4.922465400E-2,-1.566791534E-2,-1.364865303E-1,-2.105293274E-1,2.513894473E-1
5.436126900E-2,-5.953741074E-2,-6.057882309E-2,-2.452201843E-1,2.595138453E-1
5.949788300E-2,1.382222176E-1,3.599786758E-2,-2.161169052E-1,2.590516254E-1
6.463449800E-2,1.837933064E-1,2.565622330E-2,8.020877838E-3,1.857486359E-1
6.977111200E-2,2.707090378E-1,2.500915527E-2,2.126283646E-1,3.451371646E-1
7.490772700E-2,3.539974689E-1,6.166505814E-2,2.411899567E-1,4.327694335E-1
8.004434200E-2,3.303670883E-1,1.233716011E-1,2.045354843E-1,4.076735573E-1
8.518090400E-2,3.542325497E-1,2.707128525E-1,2.494902611E-1,5.108928832E-1
9.031751900E-2,3.057651520E-1,2.714943886E-1,1.792664528E-1,4.464728349E-1
9.545413300E-2,1.658511162E-1,2.046918869E-1,1.881546974E-1,3.237399442E-1
1.005907480E-1,1.105041504E-1,2.415418625E-1,3.008708954E-1,4.013439102E-1
1.057273100E-1,4.540848732E-2,2.390193939E-1,4.020776749E-1,4.699560171E-1
1.108639250E-1,-2.944374084E-2,2.443823814E-1,4.418411255E-1,5.057798557E-1
1.160005400E-1,-5.330181122E-2,4.260110855E-1,4.282293320E-1,6.063883977E-1
1.211371540E-1,-2.985000610E-3,2.414388657E-1,2.056674957E-1,3.171762205E-1
1.262737690E-1,-1.379101276E-1,4.667854309E-2,1.003894806E-1,1.768506079E-1
1.314103830E-1,-1.467607021E-1,2.950191498E-2,2.121505737E-1,2.596477087E-1
1.365469460E-1,-1.872782707E-1,8.366060257E-2,3.009614944E-1,3.642115707E-1
1.416835600E-1,-1.823346615E-1,1.791644096E-1,2.792444229E-1,3.785805888E-1
1.468201750E-1,-2.227029800E-1,2.371978760E-1,1.837387085E-1,3.736567445E-1
1.519567900E-1,-2.237989902E-1,3.011217117E-1,1.911306381E-1,4.210596088E-1
1.570933520E-1,-2.329742908E-1,3.135490417E-1,2.260293961E-1,4.513084418E-1
1.622299670E-1,-2.407128811E-1,2.558016777E-1,2.253961563E-1,4.173495139E-1
1.673665810E-1,-2.519984245E-1,2.059364319E-1,3.011827469E-1,4.434231241E-1
1.725031960E-1,-2.439501286E-1,1.698431969E-1,4.210157394E-1,5.153762020E-1
1.776398100E-1,-1.413669586E-1,1.464400291E-1,5.699348450E-1,6.051900748E-1
1.827764250E-1,-1.123771667E-1,1.679992676E-2,5.808486938E-1,5.918581505E-1
1.879129870E-1,-9.789156914E-2,-1.792788506E-1,5.438461304E-1,5.809408568E-1
1.930496020E-1,-1.102578640E-1,-3.734707832E-1,5.506658554E-1,6.744405881E-1
1.981862170E-1,-6.821775436E-2,-5.478613377E-1,5.279273987E-1,7.638802561E-1
