"property","value"
"version","1.1.11"
"build","1011102"
"fileFormat","1.15"
"deviceModel","moto g(9) play"
"deviceBrand","motorola"
"deviceBoard","guamp"
"deviceManufacturer","motorola"
"deviceBaseOS","motorola/guamp_retailen/guamp:11/RPX31.Q2-58-17-7/c9ebb:user/release-keys"
"deviceCodename","REL"
"deviceRelease","11"
"depthFrontSensor","0"
"depthFrontResolution","null"
"depthFrontRate","null"
"depthBackSensor","0"
"depthBackResolution","null"
"depthBackRate","null"
"accelerometer Name","lsm6dso Accelerometer Non-wakeup"
"accelerometer Vendor","STMicro"
"accelerometer Range","78.45318"
"accelerometer Resolution","0.0023928226"
"accelerometer MinDelay","2404"
"accelerometer MaxDelay","1000000"
"accelerometer Power","0.17"
"accelerometer Version","142854"
"linear_acceleration Name","linear_acceleration"
"linear_acceleration Vendor","qualcomm"
"linear_acceleration Range","156.98999"
"linear_acceleration Resolution","0.01"
"linear_acceleration MinDelay","5000"
"linear_acceleration MaxDelay","200000"
"linear_acceleration Power","0.515"
"linear_acceleration Version","1"
"gravity Name","gravity  Non-wakeup"
"gravity Vendor","qualcomm"
"gravity Range","156.98999"
"gravity Resolution","0.01"
"gravity MinDelay","5000"
"gravity MaxDelay","200000"
"gravity Power","0.515"
"gravity Version","1"
"gyroscope Name","lsm6dso Gyroscope Non-wakeup"
"gyroscope Vendor","STMicro"
"gyroscope Range","34.90549"
"gyroscope Resolution","0.0012216945"
"gyroscope MinDelay","2404"
"gyroscope MaxDelay","1000000"
"gyroscope Power","0.55"
"gyroscope Version","142854"
"magnetic_field Name","null"
"magnetic_field Vendor","null"
"magnetic_field Range","null"
"magnetic_field Resolution","null"
"magnetic_field MinDelay","null"
"magnetic_field MaxDelay","null"
"magnetic_field Power","null"
"magnetic_field Version","null"
"pressure Name","null"
"pressure Vendor","null"
"pressure Range","null"
"pressure Resolution","null"
"pressure MinDelay","null"
"pressure MaxDelay","null"
"pressure Power","null"
"pressure Version","null"
"light Name","vcnl36866 Ambient Light Sensor Non-wakeup"
"light Vendor","vishay_capella"
"light Range","65535.0"
"light Resolution","0.1"
"light MinDelay","0"
"light MaxDelay","0"
"light Power","0.17"
"light Version","264"
"proximity Name","vcnl36866 Proximity Sensor Wakeup"
"proximity Vendor","vishay_capella"
"proximity Range","5.0"
"proximity Resolution","1.0"
"proximity MinDelay","0"
"proximity MaxDelay","0"
"proximity Power","0.22"
"proximity Version","264"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","null"
"attitude Vendor","null"
"attitude Range","null"
"attitude Resolution","null"
"attitude MinDelay","null"
"attitude MaxDelay","null"
"attitude Power","null"
"attitude Version","null"
